date,yhat,sentiment_score,event,impact
2016-05-25,111.29455359074016,0.0,No Event,None
2016-05-26,119.69610356571806,0.0,No Event,None
2016-05-27,122.96775572312497,0.0,No Event,None
2016-05-28,115.83051929442372,0.0,No Event,None
2016-05-29,103.11220110572066,0.0,No Event,None
2016-05-30,123.48716033007354,0.0,No Event,None
2016-05-31,99.78254276626386,0.0,No Event,None
2016-06-01,106.3254141438453,0.0,No Event,None
2016-06-02,114.29490539207262,0.0,No Event,None
2016-06-03,117.21936730167704,0.0,No Event,None
2016-06-04,109.82848847036088,0.0,No Event,None
2016-06-05,96.9562877065826,0.0,No Event,None
2016-06-06,117.28064882841514,0.0,No Event,None
2016-06-07,93.62941346951892,0.0,No Event,None
2016-06-08,100.32745672402709,0.0,No Event,None
2016-06-09,108.54886138451803,0.0,No Event,None
2016-06-10,111.81418838547756,0.0,No Event,None
2016-06-11,104.8427948693948,0.0,No Event,None
2016-06-12,92.45610595934158,0.0,No Event,None
2016-06-13,113.31750061118792,0.0,No Event,None
2016-06-14,90.23881731679994,0.0,No Event,None
2016-06-15,97.52789265795484,0.0,No Event,None
2016-06-16,106.34123498311224,0.0,No Event,None
2016-06-17,110.1818160812836,0.0,No Event,None
2016-06-18,103.75191671371611,0.0,No Event,None
2016-06-19,91.85691618018544,0.0,No Event,None
2016-06-20,113.1230811505311,0.0,No Event,None
2016-06-21,90.37229117057508,0.0,No Event,None
2016-06-22,97.90220612838488,0.0,No Event,None
2016-06-23,106.86185898543796,0.0,No Event,None
2016-06-24,110.74969916151343,0.0,No Event,None
2016-06-25,104.26660336661531,0.0,No Event,None
2016-06-26,92.21973815141442,0.0,No Event,None
2016-06-27,113.2629155876492,0.0,No Event,None
2016-06-28,90.20343234591203,0.0,No Event,None
2016-06-29,97.3497936214562,0.0,No Event,None
2016-06-30,105.86441697538588,0.0,No Event,None
2016-07-01,109.26129636499016,0.0,No Event,None
2016-07-02,102.25856434516022,0.0,No Event,None
2016-07-03,89.68184944896977,0.0,No Event,None
2016-07-04,110.2040847128386,0.0,No Event,None
2016-07-05,86.65177356522668,0.0,No Event,None
2016-07-06,93.3521314188062,0.0,No Event,None
2016-07-07,101.48521535459136,0.0,No Event,None
2016-07-08,104.58103941723128,0.0,No Event,None
2016-07-09,97.37163015275269,0.0,No Event,None
2016-07-10,84.6939349508642,0.0,No Event,None
2016-07-11,105.22925313739177,0.0,No Event,None
2016-07-12,81.80920801821746,0.0,No Event,None
2016-07-13,88.76268781859491,0.0,No Event,None
2016-07-14,97.26787483080253,0.0,No Event,None
2016-07-15,100.84936430092635,0.0,No Event,None
2016-07-16,94.2126274621428,0.0,No Event,None
2016-07-17,82.20023505217178,0.0,No Event,None
2016-07-18,103.47849418876211,0.0,No Event,None
2016-07-19,80.86152049989414,0.0,No Event,None
2016-07-20,88.65865664355614,0.0,No Event,None
2016-07-21,98.02704441232352,0.0,No Event,None
2016-07-22,102.46933660267344,0.0,No Event,None
2016-07-23,96.68648728118193,0.0,No Event,None
2016-07-24,85.4815127770481,0.0,No Event,None
2016-07-25,107.49986945206682,0.0,No Event,None
2016-07-26,85.5364395640824,0.0,No Event,None
2016-07-27,93.88352406470146,0.0,No Event,None
2016-07-28,103.68393116237225,0.0,No Event,None
2016-07-29,108.42913121208592,0.0,No Event,None
2016-07-30,102.812402973649,0.0,No Event,None
2016-07-31,91.63285242412503,0.0,No Event,None
2016-08-01,113.53594181948604,0.0,No Event,None
2016-08-02,91.32051502412251,0.0,No Event,None
2016-08-03,99.28671588125506,0.0,No Event,None
2016-08-04,108.58888970546462,0.0,No Event,None
2016-08-05,112.73344300949374,0.0,No Event,None
2016-08-06,106.43159425003024,0.0,No Event,None
2016-08-07,94.5029075015134,0.0,No Event,None
2016-08-08,115.61526017362976,0.0,No Event,None
2016-08-09,92.5912465154988,0.0,No Event,None
2016-08-10,99.75534980756056,0.0,No Event,None
2016-08-11,108.28639964666044,0.0,No Event,None
2016-08-12,111.71449448495022,0.0,No Event,None
2016-08-13,104.77315695747713,0.0,No Event,None
2016-08-14,92.30222622368994,0.0,No Event,None
2016-08-15,112.98723866878431,0.0,No Event,None
2016-08-16,89.66531599755874,0.0,No Event,None
2016-08-17,96.67199039082412,0.0,No Event,None
2016-08-18,105.19308862001414,0.0,No Event,None
2016-08-19,108.76168002552222,0.0,No Event,None
2016-08-20,102.11004803908833,0.0,No Event,None
2016-08-21,90.07260035091085,0.0,No Event,None
2016-08-22,111.32538762400507,0.0,No Event,None
2016-08-23,88.69224631751321,0.0,No Event,None
2016-08-24,96.49198839920776,0.0,No Event,None
2016-08-25,105.8907497212934,0.0,No Event,None
2016-08-26,110.3994888888454,0.0,No Event,None
2016-08-27,104.72658063999016,0.0,No Event,None
2016-08-28,93.68140103693692,0.0,No Event,None
2016-08-29,115.91455494073428,0.0,No Event,None
2016-08-30,94.22474083029304,0.0,No Event,None
2016-08-31,102.90665477504318,0.0,No Event,None
2016-09-01,113.10402449814842,0.0,No Event,None
2016-09-02,118.30774527556753,0.0,No Event,None
2016-09-03,113.2090429428174,0.0,No Event,None
2016-09-04,102.60354370288198,0.0,No Event,None
2016-09-05,125.13189054727282,0.0,No Event,None
2016-09-06,103.58688215289996,0.0,No Event,None
2016-09-07,112.26153521615676,0.0,No Event,None
2016-09-08,122.3021523904952,0.0,No Event,None
2016-09-09,127.20636696331326,0.0,No Event,None
2016-09-10,121.67609184599354,0.0,No Event,None
2016-09-11,110.52125924830727,0.0,No Event,None
2016-09-12,132.3999964436312,0.0,No Event,None
2016-09-13,110.12523365794604,0.0,No Event,None
2016-09-14,118.01215290065583,0.0,No Event,None
2016-09-15,127.23058154693008,0.0,No Event,None
2016-09-16,131.3023207987989,0.0,No Event,None
2016-09-17,124.9533576803304,0.0,No Event,None
2016-09-18,113.01686873575248,0.0,No Event,None
2016-09-19,134.17268271519873,0.0,No Event,None
2016-09-20,111.25321960030188,0.0,No Event,None
2016-09-21,118.59033491463454,0.0,No Event,None
2016-09-22,127.36719146981989,0.0,No Event,None
2016-09-23,131.11516468004902,0.0,No Event,None
2016-09-24,124.56574328538588,0.0,No Event,None
2016-09-25,112.5533436182046,0.0,No Event,None
2016-09-26,133.75471112808415,0.0,No Event,None
2016-09-27,110.994929205845,0.0,No Event,None
2016-09-28,118.59446309715798,0.0,No Event,None
2016-09-29,127.72135606616692,0.0,No Event,None
2016-09-30,131.88857522863367,0.0,No Event,None
2016-10-01,125.80645678416695,0.0,No Event,None
2016-10-02,114.28615331347852,0.0,No Event,None
2016-10-03,135.97973895485902,0.0,No Event,None
2016-10-04,113.68697217564905,0.0,No Event,None
